player_id,goalsLeaders,assistsLeaders
108223,,3.0
123465,3.0,
125824,11.0,
132659,,2.0
140416,6.0,
142200,11.0,2.0
170785,4.0,
173896,,4.0
174980,,2.0
182627,,5.0
186381,13.0,4.0
187956,,3.0
190161,,4.0
193297,,3.0
193849,,2.0
197628,,5.0
198825,,4.0
202099,,3.0
203669,3.0,
204441,,2.0
206474,,4.0
209581,,3.0
213248,,3.0
214596,,4.0
217331,4.0,
219611,,3.0
219713,9.0,
220819,7.0,2.0
225607,4.0,
229645,5.0,
229744,8.0,6.0
231050,13.0,8.0
231182,4.0,
231388,7.0,
231692,,3.0
235677,4.0,
235818,,3.0
238262,4.0,3.0
240233,4.0,5.0
240912,,3.0
250465,,2.0
252107,8.0,2.0
253937,,3.0
253989,8.0,
258906,6.0,
258917,3.0,
260262,3.0,
260775,6.0,
261328,3.0,
265653,4.0,2.0
265869,3.0,
267804,5.0,
271769,,2.0
272700,4.0,
273499,7.0,
274913,5.0,
277206,7.0,
280555,6.0,
281119,,3.0
286347,4.0,
286831,5.0,
288896,3.0,
288897,,2.0
289114,,4.0
289155,4.0,
290591,4.0,
291281,3.0,3.0
296319,4.0,5.0
297158,,3.0
302793,,3.0
303748,6.0,
303785,,3.0
303793,,2.0
303821,3.0,
304478,3.0,
306789,4.0,
308908,,3.0
312015,,3.0
314177,,3.0
328238,3.0,4.0
336388,5.0,3.0
339879,4.0,
341711,3.0,
354334,,3.0
362150,5.0,3.0
76762,,3.0
