Date,Match,Status,Home Team,Home Score,Away Team,Away Score,Match Link
2024-09-17T16:45Z,PSV Eindhoven at Juventus,Full Time,Juventus,3,PSV Eindhoven,1,https://www.espn.com/soccer/match/_/gameId/720418/psv-eindhoven-juventus
2024-09-17T16:45Z,Aston Villa at Young Boys,Full Time,Young Boys,0,Aston Villa,3,https://www.espn.com/soccer/match/_/gameId/720419/aston-villa-young-boys
2024-09-17T19:00Z,Liverpool at AC Milan,Full Time,AC Milan,1,Liverpool,3,https://www.espn.com/soccer/match/_/gameId/720365/liverpool-ac-milan
2024-09-17T19:00Z,Dinamo Zagreb at Bayern Munich,Full Time,Bayern Munich,9,Dinamo Zagreb,2,https://www.espn.com/soccer/match/_/gameId/720422/dinamo-zagreb-bayern-munich
2024-09-17T19:00Z,VfB Stuttgart at Real Madrid,Full Time,Real Madrid,3,VfB Stuttgart,1,https://www.espn.com/soccer/match/_/gameId/720420/vfb-stuttgart-real-madrid
2024-09-17T19:00Z,Lille at Sporting CP,Full Time,Sporting CP,2,Lille,0,https://www.espn.com/soccer/match/_/gameId/720421/lille-sporting-cp
2024-09-18T16:45Z,Shakhtar Donetsk at Bologna,Full Time,Bologna,0,Shakhtar Donetsk,0,https://www.espn.com/soccer/match/_/gameId/720424/shakhtar-donetsk-bologna
2024-09-18T16:45Z,RB Salzburg at Sparta Prague,Full Time,Sparta Prague,3,RB Salzburg,0,https://www.espn.com/soccer/match/_/gameId/720423/rb-salzburg-sparta-prague
2024-09-18T19:00Z,Slovan Bratislava at Celtic,Full Time,Celtic,5,Slovan Bratislava,1,https://www.espn.com/soccer/match/_/gameId/720427/slovan-bratislava-celtic
2024-09-18T19:00Z,Borussia Dortmund at Club Brugge,Full Time,Club Brugge,0,Borussia Dortmund,3,https://www.espn.com/soccer/match/_/gameId/720428/borussia-dortmund-club-brugge
2024-09-18T19:00Z,Internazionale at Manchester City,Full Time,Manchester City,0,Internazionale,0,https://www.espn.com/soccer/match/_/gameId/720426/internazionale-manchester-city
2024-09-18T19:00Z,Girona at Paris Saint-Germain,Full Time,Paris Saint-Germain,1,Girona,0,https://www.espn.com/soccer/match/_/gameId/720425/girona-paris-saint-germain
2024-10-01T16:45Z,Brest at RB Salzburg,Full Time,RB Salzburg,0,Brest,4,https://www.espn.com/soccer/match/_/gameId/720435/brest-rb-salzburg
2024-10-01T16:45Z,Sparta Prague at VfB Stuttgart,Full Time,VfB Stuttgart,1,Sparta Prague,1,https://www.espn.com/soccer/match/_/gameId/720436/sparta-prague-vfb-stuttgart
